// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 24 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in D:\Coding\Benchmarks\ObjectMapperBenchmark\src\ObjectMapperBenchMark\bin\Debug\netcoreapp2.2\068092ff-4344-4509-9990-50206e6cc891
// command took 2.33s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in D:\Coding\Benchmarks\ObjectMapperBenchmark\src\ObjectMapperBenchMark\bin\Debug\netcoreapp2.2\068092ff-4344-4509-9990-50206e6cc891
// command took 3.79s and exited with 0
// ***** Done, took 00:00:06 (6.38 sec)   *****
// Found 6 benchmarks:
//   FastMemberObjectMapperBenchMark.As: Job-SJTQXC(InvocationCount=1, UnrollFactor=1) [Rows=10]
//   FastMemberObjectMapperBenchMark.AsArray: Job-SJTQXC(InvocationCount=1, UnrollFactor=1) [Rows=10]
//   FastMemberObjectMapperBenchMark.As: Job-SJTQXC(InvocationCount=1, UnrollFactor=1) [Rows=100]
//   FastMemberObjectMapperBenchMark.AsArray: Job-SJTQXC(InvocationCount=1, UnrollFactor=1) [Rows=100]
//   FastMemberObjectMapperBenchMark.As: Job-SJTQXC(InvocationCount=1, UnrollFactor=1) [Rows=10000]
//   FastMemberObjectMapperBenchMark.AsArray: Job-SJTQXC(InvocationCount=1, UnrollFactor=1) [Rows=10000]

// **************************
// Benchmark: FastMemberObjectMapperBenchMark.As: Job-SJTQXC(InvocationCount=1, UnrollFactor=1) [Rows=10]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "068092ff-4344-4509-9990-50206e6cc891.dll" --benchmarkName "ObjectMapperBenchMark.Mappers.FastMemberObjectMapperBenchMark.As(Rows: 10)" --job "InvocationCount=1, UnrollFactor=1" --benchmarkId 0 in D:\Coding\Benchmarks\ObjectMapperBenchmark\src\ObjectMapperBenchMark\bin\Debug\netcoreapp2.2\068092ff-4344-4509-9990-50206e6cc891\bin\Release\netcoreapp2.2
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.8 (CoreCLR 4.6.28207.03, CoreFX 4.6.28208.02), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-UTNKKR(InvocationCount=1, UnrollFactor=1)

OverheadJitting  1: 1 op, 452000.00 ns, 452.0000 us/op
WorkloadJitting  1: 1 op, 162735200.00 ns, 162.7352 ms/op

OverheadWarmup   1: 1 op, 2800.00 ns, 2.8000 us/op
OverheadWarmup   2: 1 op, 200.00 ns, 200.0000 ns/op
OverheadWarmup   3: 1 op, 200.00 ns, 200.0000 ns/op
OverheadWarmup   4: 1 op, 200.00 ns, 200.0000 ns/op
OverheadWarmup   5: 1 op, 200.00 ns, 200.0000 ns/op
OverheadWarmup   6: 1 op, 200.00 ns, 200.0000 ns/op

OverheadActual   1: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual   2: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual   3: 1 op, 300.00 ns, 300.0000 ns/op
OverheadActual   4: 1 op, 300.00 ns, 300.0000 ns/op
OverheadActual   5: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual   6: 1 op, 500.00 ns, 500.0000 ns/op
OverheadActual   7: 1 op, 500.00 ns, 500.0000 ns/op
OverheadActual   8: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual   9: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual  10: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual  11: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual  12: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual  13: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual  14: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual  15: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual  16: 1 op, 400.00 ns, 400.0000 ns/op
OverheadActual  17: 1 op, 300.00 ns, 300.0000 ns/op
OverheadActual  18: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual  19: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual  20: 1 op, 200.00 ns, 200.0000 ns/op

WorkloadWarmup   1: 1 op, 902200.00 ns, 902.2000 us/op
WorkloadWarmup   2: 1 op, 1870900.00 ns, 1.8709 ms/op
WorkloadWarmup   3: 1 op, 818100.00 ns, 818.1000 us/op
WorkloadWarmup   4: 1 op, 793900.00 ns, 793.9000 us/op
WorkloadWarmup   5: 1 op, 818900.00 ns, 818.9000 us/op
WorkloadWarmup   6: 1 op, 819700.00 ns, 819.7000 us/op
WorkloadWarmup   7: 1 op, 818700.00 ns, 818.7000 us/op

